userId	geneSymbol	geneName	entrezgene	gLink
PXDC1	PXDC1	PX domain containing 1	221749	https://www.ncbi.nlm.nih.gov/gene/?term=221749
QRICH2	QRICH2	glutamine rich 2	84074	https://www.ncbi.nlm.nih.gov/gene/?term=84074
RAB26	RAB26	RAB26, member RAS oncogene family	25837	https://www.ncbi.nlm.nih.gov/gene/?term=25837
RAB31	RAB31	RAB31, member RAS oncogene family	11031	https://www.ncbi.nlm.nih.gov/gene/?term=11031
RAB36	RAB36	RAB36, member RAS oncogene family	9609	https://www.ncbi.nlm.nih.gov/gene/?term=9609
RAB3B	RAB3B	RAB3B, member RAS oncogene family	5865	https://www.ncbi.nlm.nih.gov/gene/?term=5865
RAC3	RAC3	Rac family small GTPase 3	5881	https://www.ncbi.nlm.nih.gov/gene/?term=5881
RAG1	RAG1	recombination activating 1	5896	https://www.ncbi.nlm.nih.gov/gene/?term=5896
RAP1GAP	RAP1GAP	RAP1 GTPase activating protein	5909	https://www.ncbi.nlm.nih.gov/gene/?term=5909
RAP1GAP2	RAP1GAP2	RAP1 GTPase activating protein 2	23108	https://www.ncbi.nlm.nih.gov/gene/?term=23108
RAP2C-AS1	RAP2C-AS1	RAP2C antisense RNA 1	101928578	https://www.ncbi.nlm.nih.gov/gene/?term=101928578
RAPH1	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	65059	https://www.ncbi.nlm.nih.gov/gene/?term=65059
RBMS2	RBMS2	RNA binding motif single stranded interacting protein 2	5939	https://www.ncbi.nlm.nih.gov/gene/?term=5939
RCN3	RCN3	reticulocalbin 3	57333	https://www.ncbi.nlm.nih.gov/gene/?term=57333
RCOR2	RCOR2	REST corepressor 2	283248	https://www.ncbi.nlm.nih.gov/gene/?term=283248
RGPD6	RGPD6	RANBP2 like and GRIP domain containing 6	729540	https://www.ncbi.nlm.nih.gov/gene/?term=729540
RGS14	RGS14	regulator of G protein signaling 14	10636	https://www.ncbi.nlm.nih.gov/gene/?term=10636
RGS16	RGS16	regulator of G protein signaling 16	6004	https://www.ncbi.nlm.nih.gov/gene/?term=6004
RGS20	RGS20	regulator of G protein signaling 20	8601	https://www.ncbi.nlm.nih.gov/gene/?term=8601
RHOBTB3	RHOBTB3	Rho related BTB domain containing 3	22836	https://www.ncbi.nlm.nih.gov/gene/?term=22836
RHOF	RHOF	ras homolog family member F, filopodia associated	54509	https://www.ncbi.nlm.nih.gov/gene/?term=54509
RIT1	RIT1	Ras like without CAAX 1	6016	https://www.ncbi.nlm.nih.gov/gene/?term=6016
RNF144A	RNF144A	ring finger protein 144A	9781	https://www.ncbi.nlm.nih.gov/gene/?term=9781
RNF145	RNF145	ring finger protein 145	153830	https://www.ncbi.nlm.nih.gov/gene/?term=153830
RNF215	RNF215	ring finger protein 215	200312	https://www.ncbi.nlm.nih.gov/gene/?term=200312
RNF24	RNF24	ring finger protein 24	11237	https://www.ncbi.nlm.nih.gov/gene/?term=11237
RNF4	RNF4	ring finger protein 4	6047	https://www.ncbi.nlm.nih.gov/gene/?term=6047
RNF5	RNF5	ring finger protein 5	6048	https://www.ncbi.nlm.nih.gov/gene/?term=6048
RNU6-1242P	RNU6-1242P	RNA, U6 small nuclear 1242, pseudogene	106480108	https://www.ncbi.nlm.nih.gov/gene/?term=106480108
RPL10P9	RPL10P9	ribosomal protein L10 pseudogene 9	389342	https://www.ncbi.nlm.nih.gov/gene/?term=389342
RPL12P20	RPL12P20	ribosomal protein L12 pseudogene 20	100270923	https://www.ncbi.nlm.nih.gov/gene/?term=100270923
RPL29P14	RPL29P14	ribosomal protein L29 pseudogene 14	100270974	https://www.ncbi.nlm.nih.gov/gene/?term=100270974
RPL36AP15	RPL36AP15	ribosomal protein L36a pseudogene 15	100271325	https://www.ncbi.nlm.nih.gov/gene/?term=100271325
RSAD2	RSAD2	radical S-adenosyl methionine domain containing 2	91543	https://www.ncbi.nlm.nih.gov/gene/?term=91543
RTN2	RTN2	reticulon 2	6253	https://www.ncbi.nlm.nih.gov/gene/?term=6253
RUVBL1	RUVBL1	RuvB like AAA ATPase 1	8607	https://www.ncbi.nlm.nih.gov/gene/?term=8607
