userId	geneSymbol	geneName	entrezgene	gLink
EPHX2	EPHX2	epoxide hydrolase 2	2053	https://www.ncbi.nlm.nih.gov/gene/?term=2053
EPN3	EPN3	epsin 3	55040	https://www.ncbi.nlm.nih.gov/gene/?term=55040
EPPK1	EPPK1	epiplakin 1	83481	https://www.ncbi.nlm.nih.gov/gene/?term=83481
EPS8L1	EPS8L1	EPS8 signaling adaptor L1	54869	https://www.ncbi.nlm.nih.gov/gene/?term=54869
EPSTI1	EPSTI1	epithelial stromal interaction 1	94240	https://www.ncbi.nlm.nih.gov/gene/?term=94240
ERBB3	ERBB3	erb-b2 receptor tyrosine kinase 3	2065	https://www.ncbi.nlm.nih.gov/gene/?term=2065
EREG	EREG	epiregulin	2069	https://www.ncbi.nlm.nih.gov/gene/?term=2069
ERMARD	ERMARD	ER membrane associated RNA degradation	55780	https://www.ncbi.nlm.nih.gov/gene/?term=55780
ERRFI1	ERRFI1	ERBB receptor feedback inhibitor 1	54206	https://www.ncbi.nlm.nih.gov/gene/?term=54206
ESPN	ESPN	espin	83715	https://www.ncbi.nlm.nih.gov/gene/?term=83715
ESR1	ESR1	estrogen receptor 1	2099	https://www.ncbi.nlm.nih.gov/gene/?term=2099
ESRP1	ESRP1	epithelial splicing regulatory protein 1	54845	https://www.ncbi.nlm.nih.gov/gene/?term=54845
ESRP2	ESRP2	epithelial splicing regulatory protein 2	80004	https://www.ncbi.nlm.nih.gov/gene/?term=80004
ETFB	ETFB	electron transfer flavoprotein subunit beta	2109	https://www.ncbi.nlm.nih.gov/gene/?term=2109
ETNPPL	ETNPPL	ethanolamine-phosphate phospho-lyase	64850	https://www.ncbi.nlm.nih.gov/gene/?term=64850
ETS2	ETS2	ETS proto-oncogene 2, transcription factor	2114	https://www.ncbi.nlm.nih.gov/gene/?term=2114
ETV1	ETV1	ETS variant transcription factor 1	2115	https://www.ncbi.nlm.nih.gov/gene/?term=2115
ETV4	ETV4	ETS variant transcription factor 4	2118	https://www.ncbi.nlm.nih.gov/gene/?term=2118
ETV7	ETV7	ETS variant transcription factor 7	51513	https://www.ncbi.nlm.nih.gov/gene/?term=51513
EVA1A	EVA1A	eva-1 homolog A, regulator of programmed cell death	84141	https://www.ncbi.nlm.nih.gov/gene/?term=84141
EVC	EVC	EvC ciliary complex subunit 1	2121	https://www.ncbi.nlm.nih.gov/gene/?term=2121
EVC2	EVC2	EvC ciliary complex subunit 2	132884	https://www.ncbi.nlm.nih.gov/gene/?term=132884
EVI2B	EVI2B	ecotropic viral integration site 2B	2124	https://www.ncbi.nlm.nih.gov/gene/?term=2124
EVL	EVL	Enah/Vasp-like	51466	https://www.ncbi.nlm.nih.gov/gene/?term=51466
EVPL	EVPL	envoplakin	2125	https://www.ncbi.nlm.nih.gov/gene/?term=2125
EWSAT1	EWSAT1	Ewing sarcoma associated transcript 1	283673	https://www.ncbi.nlm.nih.gov/gene/?term=283673
EXOC3L1	EXOC3L1	exocyst complex component 3 like 1	283849	https://www.ncbi.nlm.nih.gov/gene/?term=283849
EXOG	EXOG	exo/endonuclease G	9941	https://www.ncbi.nlm.nih.gov/gene/?term=9941
EXPH5	EXPH5	exophilin 5	23086	https://www.ncbi.nlm.nih.gov/gene/?term=23086
EXTL3	EXTL3	exostosin like glycosyltransferase 3	2137	https://www.ncbi.nlm.nih.gov/gene/?term=2137
F12	F12	coagulation factor XII	2161	https://www.ncbi.nlm.nih.gov/gene/?term=2161
F2RL1	F2RL1	F2R like trypsin receptor 1	2150	https://www.ncbi.nlm.nih.gov/gene/?term=2150
F8	F8	coagulation factor VIII	2157	https://www.ncbi.nlm.nih.gov/gene/?term=2157
FABP4	FABP4	fatty acid binding protein 4	2167	https://www.ncbi.nlm.nih.gov/gene/?term=2167
FABP6	FABP6	fatty acid binding protein 6	2172	https://www.ncbi.nlm.nih.gov/gene/?term=2172
FADS1	FADS1	fatty acid desaturase 1	3992	https://www.ncbi.nlm.nih.gov/gene/?term=3992
FADS3	FADS3	fatty acid desaturase 3	3995	https://www.ncbi.nlm.nih.gov/gene/?term=3995
FAHD1	FAHD1	fumarylacetoacetate hydrolase domain containing 1	81889	https://www.ncbi.nlm.nih.gov/gene/?term=81889
FAM110A	FAM110A	family with sequence similarity 110 member A	83541	https://www.ncbi.nlm.nih.gov/gene/?term=83541
FAM110C	FAM110C	family with sequence similarity 110 member C	642273	https://www.ncbi.nlm.nih.gov/gene/?term=642273
FAM117A	FAM117A	family with sequence similarity 117 member A	81558	https://www.ncbi.nlm.nih.gov/gene/?term=81558
FAM120B	FAM120B	family with sequence similarity 120 member B	84498	https://www.ncbi.nlm.nih.gov/gene/?term=84498
FAM131C	FAM131C	family with sequence similarity 131 member C	348487	https://www.ncbi.nlm.nih.gov/gene/?term=348487
FAM133A	FAM133A	family with sequence similarity 133 member A	286499	https://www.ncbi.nlm.nih.gov/gene/?term=286499
FAM13A-AS1	FAM13A-AS1	FAM13A antisense RNA 1	285512	https://www.ncbi.nlm.nih.gov/gene/?term=285512
FAM149B1	FAM149B1	family with sequence similarity 149 member B1	317662	https://www.ncbi.nlm.nih.gov/gene/?term=317662
FAM169A	FAM169A	family with sequence similarity 169 member A	26049	https://www.ncbi.nlm.nih.gov/gene/?term=26049
FAM210B	FAM210B	family with sequence similarity 210 member B	116151	https://www.ncbi.nlm.nih.gov/gene/?term=116151
FAM219A	FAM219A	family with sequence similarity 219 member A	203259	https://www.ncbi.nlm.nih.gov/gene/?term=203259
FAM227A	FAM227A	family with sequence similarity 227 member A	646851	https://www.ncbi.nlm.nih.gov/gene/?term=646851
FAM228B	FAM228B	family with sequence similarity 228 member B	375190	https://www.ncbi.nlm.nih.gov/gene/?term=375190
